timestamp (unix)	asset_composition (text)	asset_amounts (amounts)	btc_price ($)	total_portfolio_value ($)	pnl ($)	return (%)	apr (%)	net_gain_vs_hold ($)	capital_used_in_trading ($)	total_capital_locked ($)	lp_fees_earned ($)	trading_fees_paid ($)	gas_fees_paid ($)	max_drawdown (%)	max_gain (%)	impermanent_loss (%)	asset_exposure (%)	rebalancing_actions (#)	notes (text)
1746921600	cbBTC,USDC	0.05054348,5123.50	104115.62890477432	10438.97	438.97	4.389714	17.62	43.338060	10385.86	10385.86	53.109820	0.000000	0.000000	5.434339	4.657279	-0.072445	0.00	0	
1747008000	cbBTC,USDC	0.05054348,5123.50	102843.23991895832	10391.82	391.82	3.918160	21.37	62.122318	10321.55	10321.55	70.265434	0.000000	0.000000	5.434339	4.657279	-0.050948	0.00	0	
1747094400	cbBTC,USDC	0.05054348,5123.50	104196.2499969478	10469.55	469.55	4.695465	22.35	69.735118	10389.94	10389.94	79.610073	0.000000	0.000000	5.468831	4.695465	-0.073925	0.00	0	
1747180800	cbBTC,USDC	0.05054348,5123.50	103594.21993965052	10443.79	443.79	4.437889	21.97	75.176838	10359.51	10359.51	84.281200	0.000000	0.000000	5.468831	4.695465	-0.063213	0.00	0	
1747267200	cbBTC,USDC	0.05054348,5123.50	103763.79719627196	10459.90	459.90	4.599012	22.34	82.501068	10368.08	10368.08	91.822488	0.000000	0.000000	5.468831	4.695465	-0.066152	0.00	0	
1747353600	cbBTC,USDC	0.05054348,5123.50	103506.7878213596	10450.95	450.95	4.509466	21.87	86.865531	10355.09	10355.09	95.857981	0.000000	0.000000	5.468831	4.695465	-0.061722	0.00	0	
1747440000	cbBTC,USDC	0.05054348,5123.50	103203.80250866253	10438.39	438.39	4.383916	21.17	90.012358	10339.77	10339.77	98.616991	0.000000	0.000000	5.468831	4.695465	-0.056683	0.00	0	
1747526400	cbBTC,USDC	0.05054348,5123.50	106503.04364659602	10612.99	612.99	6.129882	21.59	93.630809	10506.53	10506.53	106.458436	0.000000	0.000000	6.746484	6.129882	-0.121952	0.00	0	
1747612800	cbBTC,USDC	0.05054348,5123.50	105651.41034110765	10579.02	579.02	5.790205	22.19	103.797648	10463.49	10463.49	115.535193	0.000000	0.000000	6.746484	6.129882	-0.102958	0.00	0	
1747699200	cbBTC,USDC	0.05054348,5123.50	106804.7529202984	10645.71	645.71	6.457067	22.62	110.713709	10521.78	10521.78	123.927521	0.000000	0.000000	7.033089	6.457067	-0.129026	0.00	0	
1747785600	cbBTC,USDC	0.04622396,5186.99	109676.59087995888	10380.60	380.60	3.806028	20.67	246.159392	10256.68	10256.68	123.927521	0.000000	5.000000	7.033089	6.457067	-0.008800	0.00	1	Rebalanced
